mouse_symbol	mouse_ensembl	human_symbol	mapping_type	matrix_symbol_normalised_to	normalisation_source	babelgene_version
4931428F04Rik	ENSMUSG00000014837	MATCAP1	one2one	NA		22.9
4932438A13Rik	ENSMUSG00000037270	BLTP1	one2one	Bltp1	org.Mm.eg.db	22.9
4932438H23Rik	ENSMUSG00000039851	C21orf62	one2one	NA		22.9
4933424G06Rik	ENSMUSG00000102416	C2orf92	one2one	NA		22.9
4933427D14Rik	ENSMUSG00000020807	KIAA0753	one2one	NA		22.9
4933430I17Rik	ENSMUSG00000058046	C9orf43	one2one	NA		22.9
4933434E20Rik	ENSMUSG00000027942	C1orf43	one2one	NA		22.9
5031439G07Rik	ENSMUSG00000036046	KIAA0930	one2one	NA		22.9
5330417C22Rik	ENSMUSG00000040412	ELAPOR1	one2one	Elapor1	org.Mm.eg.db	22.9
5430427O19Rik	ENSMUSG00000025058	TASL	one2one	Tasl	org.Mm.eg.db	22.9
5730409E04Rik	ENSMUSG00000073755	C1orf216	one2one	NA		22.9
5730455P16Rik	ENSMUSG00000057181	C17orf75	one2one	NA		22.9
5730480H06Rik	ENSMUSG00000029089	PACRGL	one2one	NA		22.9
6030458C11Rik	ENSMUSG00000022195	C5orf22	one2one	NA		22.9
6030468B19Rik	ENSMUSG00000025573	C17orf99	one2one	NA		22.9
6330403K07Rik	ENSMUSG00000018451	LOC728392	one2one	NA		22.9
6430548M08Rik	ENSMUSG00000031824	KIAA0513	one2one	NA		22.9
6430550D23Rik	ENSMUSG00000074646	C20orf173	one2one	NA		22.9
6430571L13Rik	ENSMUSG00000037977	C3orf18	one2one	NA		22.9
8030462N17Rik	ENSMUSG00000047466	C18orf25	one2one	NA		22.9
8030474K03Rik	ENSMUSG00000046774	CXorf49	many2one	NA		22.9
9030025P20Rik	ENSMUSG00000116953	ERMARD	many2one	NA		22.9
9130401M01Rik	ENSMUSG00000101892	C8orf76	one2one	NA		22.9
9330182L06Rik	ENSMUSG00000056004	ELAPOR2	one2one	Elapor2	org.Mm.eg.db	22.9
9430015G10Rik	ENSMUSG00000059939	C1orf159	one2one	NA		22.9
9430038I01Rik	ENSMUSG00000040139	C10orf143	one2one	NA		22.9
9530053A07Rik	ENSMUSG00000078776	FCGBP	one2one	NA		22.9
9530068E07Rik	ENSMUSG00000036275	C5orf15	one2one	NA		22.9
9530077C05Rik	ENSMUSG00000036411	MATCAP2	one2one	NA		22.9
9930012K11Rik	ENSMUSG00000044551	C8orf58	one2one	NA		22.9
9930021J03Rik	ENSMUSG00000046138	KIAA2026	one2one	NA		22.9
9930104L06Rik	ENSMUSG00000044730	C1orf109	one2one	NA		22.9
a	ENSMUSG00000027596	ASIP	one2one	NA		22.9
A130010J15Rik	ENSMUSG00000079144	C1orf74	one2one	NA		22.9
A1cf	ENSMUSG00000052595	A1CF	one2one	NA		22.9
A3galt2	ENSMUSG00000028794	A3GALT2	one2one	NA		22.9
A430005L14Rik	ENSMUSG00000047613	C1orf174	one2one	NA		22.9
AA467197	ENSMUSG00000033213	C15orf48	one2one	NA		22.9
AA986860	ENSMUSG00000042510	C1orf116	one2one	NA		22.9
Aaas	ENSMUSG00000036678	AAAS	one2one	NA		22.9
Aacs	ENSMUSG00000029482	AACS	one2one	NA		22.9
Aagab	ENSMUSG00000037257	AAGAB	one2one	NA		22.9
Aak1	ENSMUSG00000057230	AAK1	one2one	NA		22.9
Aamdc	ENSMUSG00000035642	AAMDC	one2one	NA		22.9
Aamp	ENSMUSG00000006299	AAMP	one2one	NA		22.9
Aanat	ENSMUSG00000020804	AANAT	one2one	NA		22.9
Aar2	ENSMUSG00000027628	AAR2	one2one	NA		22.9
Aard	ENSMUSG00000068522	AARD	one2one	NA		22.9
Aars	ENSMUSG00000031960	AARS1	one2one	NA		22.9
Aars2	ENSMUSG00000023938	AARS2	one2one	NA		22.9
Aarsd1	ENSMUSG00000075528	AARSD1	one2one	NA		22.9
Aasdh	ENSMUSG00000055923	AASDH	one2one	NA		22.9
Aasdhppt	ENSMUSG00000025894	AASDHPPT	one2one	NA		22.9
Aatf	ENSMUSG00000018697	AATF	one2one	NA		22.9
AB124611	ENSMUSG00000057191	C19orf38	one2one	NA		22.9
Abat	ENSMUSG00000057880	ABAT	one2one	NA		22.9
Abca1	ENSMUSG00000015243	ABCA1	one2one	NA		22.9
Abca2	ENSMUSG00000026944	ABCA2	one2one	NA		22.9
Abca3	ENSMUSG00000024130	ABCA3	one2one	NA		22.9
Abca4	ENSMUSG00000028125	ABCA4	one2one	NA		22.9
Abca5	ENSMUSG00000018800	ABCA5	one2one	NA		22.9
Abca7	ENSMUSG00000035722	ABCA7	one2one	NA		22.9
Abcb10	ENSMUSG00000031974	ABCB10	one2one	NA		22.9
Abcb11	ENSMUSG00000027048	ABCB11	one2one	NA		22.9
Abcb1a	ENSMUSG00000040584	ABCB1	many2one	NA		22.9
Abcb1b	ENSMUSG00000028970	ABCB1	many2one	NA		22.9
Abcb4	ENSMUSG00000042476	ABCB4	one2one	NA		22.9
Abcb6	ENSMUSG00000026198	ABCB6	one2one	NA		22.9
Abcb7	ENSMUSG00000031333	ABCB7	one2one	NA		22.9
Abcb8	ENSMUSG00000028973	ABCB8	one2one	NA		22.9
Abcb9	ENSMUSG00000029408	ABCB9	one2one	NA		22.9
Abcc1	ENSMUSG00000023088	ABCC1	one2one	NA		22.9
Abcc10	ENSMUSG00000032842	ABCC10	one2one	NA		22.9
Abcc3	ENSMUSG00000020865	ABCC3	one2one	NA		22.9
Abcc4	ENSMUSG00000032849	ABCC4	one2one	NA		22.9
Abcc5	ENSMUSG00000022822	ABCC5	one2one	NA		22.9
Abcc8	ENSMUSG00000040136	ABCC8	one2one	NA		22.9
Abcc9	ENSMUSG00000030249	ABCC9	one2one	NA		22.9
Abcd1	ENSMUSG00000031378	ABCD1	one2one	NA		22.9
Abcd3	ENSMUSG00000028127	ABCD3	one2one	NA		22.9
Abcd4	ENSMUSG00000021240	ABCD4	one2one	NA		22.9
Abce1	ENSMUSG00000058355	ABCE1	one2one	NA		22.9
Abcf1	ENSMUSG00000038762	ABCF1	one2one	NA		22.9
Abcf2	ENSMUSG00000028953	ABCF2	one2one	NA		22.9
Abcf3	ENSMUSG00000003234	ABCF3	one2one	NA		22.9
Abcg1	ENSMUSG00000024030	ABCG1	one2one	NA		22.9
Abcg2	ENSMUSG00000029802	ABCG2	many2one	NA		22.9
Abcg3	ENSMUSG00000029299	ABCG2	many2one	NA		22.9
Abcg4	ENSMUSG00000032131	ABCG4	one2one	NA		22.9
Abhd1	ENSMUSG00000006638	ABHD1	one2one	NA		22.9
Abhd10	ENSMUSG00000033157	ABHD10	one2one	NA		22.9
Abhd11	ENSMUSG00000040532	ABHD11	one2one	NA		22.9
Abhd12	ENSMUSG00000032046	ABHD12	one2one	NA		22.9
Abhd13	ENSMUSG00000040396	ABHD13	one2one	NA		22.9
Abhd14a	ENSMUSG00000042210	ABHD14A	one2one	NA		22.9
Abhd14b	ENSMUSG00000042073	ABHD14B	one2one	NA		22.9
Abhd15	ENSMUSG00000000686	ABHD15	one2one	NA		22.9
Abhd16a	ENSMUSG00000007036	ABHD16A	one2one	NA		22.9
Abhd16b	ENSMUSG00000055882	ABHD16B	one2one	NA		22.9
Abhd17a	ENSMUSG00000003346	ABHD17A	one2one	NA		22.9
Abhd17b	ENSMUSG00000047368	ABHD17B	one2one	NA		22.9
Abhd17c	ENSMUSG00000038459	ABHD17C	one2one	NA		22.9
Abhd18	ENSMUSG00000037818	ABHD18	one2one	NA		22.9
Abhd2	ENSMUSG00000039202	ABHD2	one2one	NA		22.9
Abhd4	ENSMUSG00000040997	ABHD4	one2one	NA		22.9
Abhd5	ENSMUSG00000032540	ABHD5	one2one	NA		22.9
Abhd6	ENSMUSG00000025277	ABHD6	one2one	NA		22.9
Abhd8	ENSMUSG00000007950	ABHD8	one2one	NA		22.9
Abi1	ENSMUSG00000058835	ABI1	one2one	NA		22.9
Abi2	ENSMUSG00000026782	ABI2	one2one	NA		22.9
Abi3	ENSMUSG00000018381	ABI3	one2one	NA		22.9
Abi3bp	ENSMUSG00000035258	ABI3BP	one2one	NA		22.9
Abitram	ENSMUSG00000038827	ABITRAM	one2one	NA		22.9
Abl1	ENSMUSG00000026842	ABL1	one2one	NA		22.9
Abl2	ENSMUSG00000026596	ABL2	one2one	NA		22.9
Ablim1	ENSMUSG00000025085	ABLIM1	one2one	NA		22.9
Ablim2	ENSMUSG00000029095	ABLIM2	one2one	NA		22.9
Ablim3	ENSMUSG00000032735	ABLIM3	one2one	NA		22.9
Abr	ENSMUSG00000017631	ABR	one2one	NA		22.9
Abracl	ENSMUSG00000078453	ABRACL	one2one	NA		22.9
Abraxas1	ENSMUSG00000035234	ABRAXAS1	one2one	NA		22.9
Abraxas2	ENSMUSG00000030965	ABRAXAS2	one2one	NA		22.9
Abt1	ENSMUSG00000036376	ABT1	one2one	NA		22.9
Abtb1	ENSMUSG00000030083	ABTB1	one2one	NA		22.9
Abtb2	ENSMUSG00000032724	ABTB2	one2one	NA		22.9
Acaa1a	ENSMUSG00000036138	ACAA1	many2one	NA		22.9
Acaa1b	ENSMUSG00000010651	ACAA1	many2one	NA		22.9
Acaa2	ENSMUSG00000036880	ACAA2	one2one	NA		22.9
Acaca	ENSMUSG00000020532	ACACA	one2one	NA		22.9
Acacb	ENSMUSG00000042010	ACACB	one2one	NA		22.9
Acad10	ENSMUSG00000029456	ACAD10	many2one	NA		22.9
Acad11	ENSMUSG00000090150	ACAD11	one2one	NA		22.9
Acad12	ENSMUSG00000042647	ACAD10	many2one	NA		22.9
Acad8	ENSMUSG00000031969	ACAD8	one2one	NA		22.9
Acad9	ENSMUSG00000027710	ACAD9	one2one	NA		22.9
Acadl	ENSMUSG00000026003	ACADL	one2one	NA		22.9
Acadm	ENSMUSG00000062908	ACADM	one2one	NA		22.9
Acads	ENSMUSG00000029545	ACADS	one2one	NA		22.9
Acadsb	ENSMUSG00000030861	ACADSB	one2one	NA		22.9
Acadvl	ENSMUSG00000018574	ACADVL	one2one	NA		22.9
Acap1	ENSMUSG00000001588	ACAP1	one2one	NA		22.9
Acap2	ENSMUSG00000049076	ACAP2	one2one	NA		22.9
Acap3	ENSMUSG00000029033	ACAP3	one2one	NA		22.9
Acat1	ENSMUSG00000032047	ACAT1	one2one	NA		22.9
Acat2	ENSMUSG00000023832	ACAT2	many2one	NA		22.9
Acat3	ENSMUSG00000062480	ACAT2	many2one	NA		22.9
Acbd3	ENSMUSG00000026499	ACBD3	one2one	NA		22.9
Acbd4	ENSMUSG00000056938	ACBD4	one2one	NA		22.9
Acbd5	ENSMUSG00000026781	ACBD5	one2one	NA		22.9
Acbd6	ENSMUSG00000033701	LHX4-AS1	one2one	NA		22.9
Acbd7	ENSMUSG00000026644	ACBD7	one2one	NA		22.9
Accs	ENSMUSG00000040272	ACCS	one2one	NA		22.9
Acd	ENSMUSG00000038000	ACD	one2one	NA		22.9
Acer2	ENSMUSG00000038007	ACER2	one2one	NA		22.9
Acer3	ENSMUSG00000030760	ACER3	one2one	NA		22.9
Ache	ENSMUSG00000023328	ACHE	one2one	NA		22.9
Acin1	ENSMUSG00000022185	ACIN1	one2one	NA		22.9
Ackr4	ENSMUSG00000079355	ACKR4	one2one	NA		22.9
Acly	ENSMUSG00000020917	ACLY	one2one	NA		22.9
Acmsd	ENSMUSG00000026348	ACMSD	one2one	NA		22.9
Aco1	ENSMUSG00000028405	ACO1	one2one	NA		22.9
Aco2	ENSMUSG00000022477	ACO2	one2one	NA		22.9
Acod1	ENSMUSG00000022126	ACOD1	one2one	NA		22.9
Acot1	ENSMUSG00000072949	ACOT1	one2one	NA		22.9
Acot10	ENSMUSG00000047565	ACOT9	many2one	NA		22.9
Acot11	ENSMUSG00000034853	ACOT11	one2one	NA		22.9
Acot12	ENSMUSG00000021620	ACOT12	one2one	NA		22.9
Acot13	ENSMUSG00000006717	ACOT13	one2one	NA		22.9
Acot2	ENSMUSG00000021226	ACOT2	one2one	NA		22.9
Acot4	ENSMUSG00000052392	ACOT4	one2one	NA		22.9
Acot6	ENSMUSG00000043487	ACOT6	one2one	NA		22.9
Acot7	ENSMUSG00000028937	ACOT7	one2one	NA		22.9
Acot8	ENSMUSG00000017307	ACOT8	one2one	NA		22.9
Acot9	ENSMUSG00000025287	ACOT9	many2one	NA		22.9
Acox1	ENSMUSG00000020777	ACOX1	one2one	NA		22.9
Acox2	ENSMUSG00000021751	ACOX2	one2one	NA		22.9
Acox3	ENSMUSG00000029098	ACOX3	one2one	NA		22.9
Acoxl	ENSMUSG00000027380	ACOXL	one2one	NA		22.9
Acp1	ENSMUSG00000044573	ACP1	one2one	NA		22.9
Acp2	ENSMUSG00000002103	ACP2	one2one	NA		22.9
Acp5	ENSMUSG00000001348	ACP5	one2one	NA		22.9
Acp6	ENSMUSG00000028093	ACP6	one2one	NA		22.9
Acpp	ENSMUSG00000032561	ACP3	one2one	NA		22.9
Acrbp	ENSMUSG00000072770	ACRBP	one2one	NA		22.9
Acsbg1	ENSMUSG00000032281	ACSBG1	one2one	NA		22.9
Acsf2	ENSMUSG00000076435	ACSF2	one2one	NA		22.9
Acsf3	ENSMUSG00000015016	ACSF3	one2one	NA		22.9
Acsl1	ENSMUSG00000018796	ACSL1	one2one	NA		22.9
Acsl3	ENSMUSG00000032883	ACSL3	one2one	NA		22.9
Acsl4	ENSMUSG00000031278	ACSL4	one2one	NA		22.9
Acsl5	ENSMUSG00000024981	ACSL5	one2one	NA		22.9
Acsl6	ENSMUSG00000020333	ACSL6	one2one	NA		22.9
Acsm3	ENSMUSG00000030935	ACSM3	one2one	NA		22.9
Acss1	ENSMUSG00000027452	ACSS1	one2one	NA		22.9
Acss2	ENSMUSG00000027605	ACSS2	one2one	NA		22.9
Acta2	ENSMUSG00000035783	ACTA2	one2one	NA		22.9
Actb	ENSMUSG00000029580	ACTB	one2one	NA		22.9
Actbl2	ENSMUSG00000055194	ACTBL2	one2one	NA		22.9
Actg1	ENSMUSG00000062825	ACTG1	one2one	NA		22.9
Actl10	ENSMUSG00000078129	ACTL10	one2one	NA		22.9
Actl6a	ENSMUSG00000027671	ACTL6A	one2one	NA		22.9
Actn1	ENSMUSG00000015143	ACTN1	one2one	NA		22.9
Actn2	ENSMUSG00000052374	ACTN2	one2one	NA		22.9
Actn3	ENSMUSG00000006457	ACTN3	one2one	NA		22.9
Actn4	ENSMUSG00000054808	ACTN4	one2one	NA		22.9
Actr10	ENSMUSG00000021076	ACTR10	one2one	NA		22.9
Actr1a	ENSMUSG00000025228	ACTR1A	one2one	NA		22.9
Actr1b	ENSMUSG00000037351	ACTR1B	one2one	NA		22.9
Actr2	ENSMUSG00000020152	ACTR2	one2one	NA		22.9
Actr3	ENSMUSG00000026341	ACTR3	one2one	NA		22.9
Actr3b	ENSMUSG00000056367	ACTR3B	one2one	NA		22.9
Actr5	ENSMUSG00000037761	ACTR5	one2one	NA		22.9
Actr6	ENSMUSG00000019948	ACTR6	one2one	NA		22.9
Actr8	ENSMUSG00000015971	ACTR8	one2one	NA		22.9
Acvr1	ENSMUSG00000026836	ACVR1	one2one	NA		22.9
Acvr1b	ENSMUSG00000000532	ACVR1B	one2one	NA		22.9
Acvr1c	ENSMUSG00000026834	ACVR1C	one2one	NA		22.9
Acvr2a	ENSMUSG00000052155	ACVR2A	one2one	NA		22.9
Acvr2b	ENSMUSG00000061393	ACVR2B	one2one	NA		22.9
Acvrl1	ENSMUSG00000000530	ACVRL1	one2one	NA		22.9
Acy1	ENSMUSG00000023262	ACY1	one2one	NA		22.9
Acy3	ENSMUSG00000024866	ACY3	one2one	NA		22.9
Acyp1	ENSMUSG00000008822	ACYP1	one2one	NA		22.9
Acyp2	ENSMUSG00000060923	ACYP2	one2one	NA		22.9
Ada	ENSMUSG00000017697	ADA	one2one	NA		22.9
Adad1	ENSMUSG00000027719	ADAD1	one2one	NA		22.9
Adal	ENSMUSG00000027259	ADAL	one2one	NA		22.9
Adam10	ENSMUSG00000054693	ADAM10	one2one	NA		22.9
Adam12	ENSMUSG00000054555	ADAM12	one2one	NA		22.9
Adam15	ENSMUSG00000028041	ADAM15	one2one	NA		22.9
Adam17	ENSMUSG00000052593	ADAM17	one2one	NA		22.9
Adam19	ENSMUSG00000011256	ADAM19	one2one	NA		22.9
Adam22	ENSMUSG00000040537	ADAM22	one2one	NA		22.9
Adam33	ENSMUSG00000027318	ADAM33	one2one	NA		22.9
Adam8	ENSMUSG00000025473	ADAM8	one2one	NA		22.9
Adam9	ENSMUSG00000031555	ADAM9	one2one	NA		22.9
Adamts10	ENSMUSG00000024299	ADAMTS10	one2one	NA		22.9
Adamts14	ENSMUSG00000059901	ADAMTS14	one2one	NA		22.9
Adamts17	ENSMUSG00000058145	ADAMTS17	one2one	NA		22.9
Adamts18	ENSMUSG00000053399	ADAMTS18	one2one	NA		22.9
Adamts20	ENSMUSG00000022449	ADAMTS20	one2one	NA		22.9
Adamts3	ENSMUSG00000043635	ADAMTS3	one2one	NA		22.9
Adamts4	ENSMUSG00000006403	ADAMTS4	one2one	NA		22.9
Adamts6	ENSMUSG00000046169	ADAMTS6	one2one	NA		22.9
Adamts7	ENSMUSG00000032363	ADAMTS7	one2one	NA		22.9
Adamtsl2	ENSMUSG00000036040	ADAMTSL2	one2one	NA		22.9
Adamtsl4	ENSMUSG00000015850	ADAMTSL4	one2one	NA		22.9
Adamtsl5	ENSMUSG00000043822	ADAMTSL5	one2one	NA		22.9
Adap1	ENSMUSG00000056413	ADAP1	one2one	NA		22.9
Adap2	ENSMUSG00000020709	ADAP2	one2one	NA		22.9
Adar	ENSMUSG00000027951	ADAR	one2one	NA		22.9
Adarb1	ENSMUSG00000020262	ADARB1	one2one	NA		22.9
Adat1	ENSMUSG00000031949	ADAT1	one2one	NA		22.9
Adat2	ENSMUSG00000019808	ADAT2	one2one	NA		22.9
Adck1	ENSMUSG00000021044	ADCK1	one2one	NA		22.9
Adck2	ENSMUSG00000046947	ADCK2	one2one	NA		22.9
Adck5	ENSMUSG00000022550	ADCK5	one2one	NA		22.9
